Window_index,Stage,MAE_1,MAPE_1,RMSE_1,Accuracy(2000)_1,Accuracy(3000)_1,MAE_2,MAPE_2,RMSE_2,Accuracy(2000)_2,Accuracy(3000)_2,MAE_3,MAPE_3,RMSE_3,Accuracy(2000)_3,Accuracy(3000)_3,MAE_4,MAPE_4,RMSE_4,Accuracy(2000)_4,Accuracy(3000)_4,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
42,Inferencing,641.7294921875,1.30,650.4561998984233,100.0,100.0,947.8388671875,1.90,992.2525541177038,100.0,100.0,1204.37109375,2.41,1428.476652363829,100.0,100.0,1213.69140625,2.44,1226.2842495116215,100.0,100.0,3,1,0,0.46410703659057617,4
43,Inferencing,1293.3212890625,2.60,1336.02048058573,100.0,100.0,1375.572265625,2.78,1481.7757533708982,100.0,100.0,976.001953125,1.98,1086.5263601336412,100.0,100.0,1593.515625,3.23,1630.6326497972802,75.0,100.0,4,0,0,0.37644028663635254,4
44,Inferencing,345.7080078125,0.71,419.289904397418,100.0,100.0,390.873046875,0.81,624.3773046074874,100.0,100.0,425.8466796875,0.89,559.511034099056,100.0,100.0,1270.345703125,2.65,1338.6719961798028,100.0,100.0,4,0,0,0.4723811149597168,4
45,Inferencing,860.8681640625,1.81,912.1397831082035,100.0,100.0,1279.0751953125,2.71,1289.6086548699984,100.0,100.0,1154.0439453125,2.46,1232.7003924573662,100.0,100.0,1792.841796875,3.85,1922.8665826570227,50.0,100.0,4,0,0,0.4233431816101074,4
46,Inferencing,608.3388671875,1.30,655.0426674522919,100.0,100.0,402.9912109375,0.86,435.63166621839275,100.0,100.0,228.56640625,0.49,244.583546583699,100.0,100.0,494.384765625,1.06,544.9631677413081,100.0,100.0,4,0,0,0.5102341175079346,4
47,Inferencing,1003.5615234375,2.14,1071.1964305058266,100.0,100.0,951.5654296875,2.04,1120.8135202375859,100.0,100.0,601.0205078125,1.29,987.9172338131473,100.0,100.0,1099.755859375,2.36,1322.4557926022126,75.0,100.0,4,0,0,0.3856527805328369,4
48,Inferencing,2107.08203125,4.52,2159.001756650591,25.0,100.0,2186.9609375,4.71,2250.9406356999402,25.0,100.0,1618.419921875,3.48,1726.1526368480068,50.0,100.0,1854.9990234375,3.98,2052.3603285173263,50.0,100.0,4,0,0,0.45569610595703125,4
49,Inferencing,1075.5478515625,2.28,1086.532458114139,100.0,100.0,888.1630859375,1.88,988.8822124701825,100.0,100.0,639.9135546875004,1.35,761.9321127278596,100.0,100.0,1048.638671875,2.22,1209.5318092260031,100.0,100.0,4,0,0,0.37631821632385254,4
50,Inferencing,1481.43359375,3.14,1494.8684189327205,100.0,100.0,1463.4072265625,3.11,1484.119478633754,100.0,100.0,1013.0903515624996,2.15,1049.6940515884223,100.0,100.0,1411.3310546875,2.99,1445.5429514794746,100.0,100.0,4,0,0,0.37361741065979004,4
51,Inferencing,679.876953125,1.44,683.1774365625566,100.0,100.0,713.255859375,1.51,725.4625317016407,100.0,100.0,317.0693359375,0.67,363.77119065791817,100.0,100.0,741.263671875,1.57,753.4973990503693,100.0,100.0,4,0,0,0.6361308097839355,4
52,Inferencing,1999.138671875,4.15,2737.252486377367,75.0,75.0,2462.68359375,5.06,3149.711887755486,50.0,50.0,3208.2265625,6.56,3701.380969488442,25.0,50.0,3320.6142578125,6.77,3605.6289114917813,25.0,50.0,4,0,0,0.4348335266113281,4
53,Inferencing,3879.033203125,7.91,4084.0358037574774,25.0,25.0,3861.9560546875,7.87,4060.857846245593,0.0,25.0,3829.6533203125,7.83,4063.5243864894264,25.0,25.0,3160.671875,6.50,3594.708511164054,25.0,50.0,4,0,0,0.3756387233734131,4
54,Inferencing,795.712890625,1.67,900.1205954690928,100.0,100.0,1127.6728515625,2.44,1169.24132982897,100.0,100.0,1320.3134765625,2.89,1411.6188896274625,75.0,100.0,1483.03515625,3.26,1665.3060635651889,50.0,100.0,4,0,0,0.3772709369659424,4
55,Inferencing,2580.0234375,5.67,2619.6028320915207,0.0,75.0,2074.8310546875,4.58,2245.4870452141918,25.0,100.0,1718.0703125,3.95,1879.3506688523587,25.0,100.0,2131.673828125,5.31,2671.4686228919118,75.0,75.0,4,0,0,0.5633831024169922,4
56,Inferencing,1409.552734375,3.52,1436.3912492795182,100.0,100.0,2308.0986328125,5.82,2578.5608719650636,50.0,50.0,2757.5947265625,6.90,3179.9819716542306,25.0,50.0,2615.6494140625,6.37,2865.9046810688133,50.0,50.0,4,0,0,0.3967263698577881,4
57,Inferencing,2030.25390625,4.84,2353.4561823973468,50.0,50.0,2117.177734375,4.99,2547.566631413833,50.0,50.0,18014.3037109375,41.91,20842.792966203153,0.0,0.0,3212.66015625,7.41,3466.9853482383796,25.0,50.0,4,0,0,0.5190341472625732,4
58,Inferencing,2868.169921875,6.57,2901.0661155348926,0.0,50.0,3265.6201171875,7.40,3279.5579476085277,0.0,50.0,3036.2919921875,6.76,3281.1304613857296,25.0,25.0,4748.6767578125,10.36,4782.273715347946,0.0,0.0,3,1,0,0.5925233364105225,4
59,Inferencing,2716.3193359375,5.81,2743.4115689609594,0.0,75.0,3775.673828125,7.91,3787.900650950182,0.0,0.0,4820.4697265625,9.91,4822.263740267626,0.0,0.0,5810.28125,11.62,5835.18757512849,0.0,0.0,3,1,0,0.4535853862762451,4
60,Inferencing,2690.8125,5.24,2919.7163757549088,50.0,50.0,3374.8525390625,6.53,3415.7470602907792,0.0,25.0,4105.0576171875,7.90,4153.13075755252,0.0,0.0,3249.787109375,6.30,3375.06315761557,25.0,25.0,4,0,0,0.3735783100128174,4
61,Inferencing,1322.6621093750018,2.56,1552.0881918055493,50.0,100.0,1240.5390625000036,2.41,1436.2033775763764,100.0,100.0,1630.4140625000055,3.17,1860.7112669823414,75.0,100.0,1884.3232421875055,3.63,1954.9988159283466,75.0,100.0,4,0,0,0.3780522346496582,4
62,Inferencing,4018.008789062502,7.71,4343.981481834497,25.0,25.0,4057.1171875,7.80,4263.392598413149,0.0,25.0,4231.192148437498,8.18,4340.477398984228,0.0,25.0,3657.5166015625,7.10,3805.5529579895374,0.0,25.0,4,0,0,0.3822355270385742,4
63,Inferencing,4138.687500000002,8.04,4147.359658143494,0.0,0.0,4261.531250000002,8.26,4264.430745308897,0.0,0.0,4725.053945312502,9.14,4727.595243940932,0.0,0.0,4383.7939453125,8.47,4399.16819254555,0.0,0.0,4,0,0,0.5021755695343018,4
64,Inferencing,4575.03125,8.82,4607.911518682908,0.0,0.0,4883.4052734375,9.34,5003.894246304625,0.0,0.0,6016.14453125,11.29,6256.554936594836,0.0,0.0,7104.3037109375,12.91,7525.838027091308,0.0,0.0,4,0,0,0.39107203483581543,4
65,Inferencing,6373.865885416667,11.54,6390.7131634237185,0.0,0.0,7801.369791666667,13.79,7839.113347037289,0.0,0.0,9291.930989583336,16.12,9337.688547849584,0.0,0.0,9176.669270833336,15.84,9221.599257584476,0.0,0.0,4,0,0,0.38602280616760254,4
