Window_index,Stage,MAE_1,MAPE_1,RMSE_1,Accuracy(2000)_1,Accuracy(3000)_1,MAE_2,MAPE_2,RMSE_2,Accuracy(2000)_2,Accuracy(3000)_2,MAE_3,MAPE_3,RMSE_3,Accuracy(2000)_3,Accuracy(3000)_3,MAE_4,MAPE_4,RMSE_4,Accuracy(2000)_4,Accuracy(3000)_4,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
45,Training,1093.9801025390625,2.44,1349.652587890625,88.73,97.55,1242.9757080078125,2.77,1511.195068359375,82.35,96.57,1613.793212890625,3.55,2094.367431640625,74.51,88.73,1479.508544921875,3.31,1795.61767578125,72.06,92.65,4,0,0,0.4233431816101074,4
46,Training,1094.4326171875,2.44,1347.9794921875,88.73,97.55,1240.383544921875,2.76,1506.381591796875,82.84,96.57,1596.1302490234375,3.51,2080.87841796875,75.49,88.73,1478.469970703125,3.30,1791.6173095703125,72.06,93.14,4,0,0,0.5102341175079346,4
47,Training,1089.53662109375,2.43,1344.9541015625,88.73,97.55,1228.368896484375,2.74,1499.0318603515625,82.84,96.57,1575.7266845703125,3.46,2070.508544921875,75.98,88.73,1446.0499267578125,3.22,1765.428955078125,73.04,93.14,4,0,0,0.3856527805328369,4
48,Training,1086.3702392578125,2.42,1341.9202880859375,88.73,97.55,1222.7215576171875,2.72,1491.7821044921875,83.33,96.57,1560.0472412109375,3.42,2064.286865234375,76.47,88.73,1423.7489013671875,3.16,1746.1298828125,73.53,93.14,4,0,0,0.45569610595703125,4
49,Training,1114.3487548828125,2.47,1371.789306640625,87.25,97.55,1244.5458984375,2.76,1516.8353271484375,81.86,96.57,1562.1182861328125,3.41,2066.589599609375,75.49,88.73,1422.6231689453125,3.15,1746.662841796875,73.53,93.14,4,0,0,0.37631821632385254,4
50,Training,1112.51513671875,2.46,1362.13623046875,87.75,97.55,1231.09228515625,2.72,1501.7640380859375,82.35,96.57,1540.5377197265625,3.35,2046.7352294921875,75.98,89.22,1400.1717529296875,3.08,1713.59765625,74.51,94.12,4,0,0,0.37361741065979004,4
51,Training,1078.8028564453125,2.36,1298.377197265625,89.22,99.02,1202.3812255859375,2.63,1447.4095458984375,83.82,97.55,1511.7720947265625,3.27,2015.3912353515625,76.96,89.71,1383.5062255859375,3.03,1694.9541015625,75.98,94.12,4,0,0,0.6361308097839355,4
52,Training,1057.1771240234375,2.30,1276.804931640625,89.71,99.02,1179.9539794921875,2.57,1425.169677734375,84.31,97.55,1487.529052734375,3.21,2001.86328125,77.45,89.71,1378.5888671875,3.01,1689.2161865234375,75.98,94.12,4,0,0,0.4348335266113281,4
53,Training,1075.2784423828125,2.33,1321.4139404296875,89.22,98.53,1198.3470458984375,2.59,1471.6904296875,84.31,96.57,1513.254150390625,3.23,2044.0699462890625,76.96,89.22,1397.5455322265625,3.01,1728.9659423828125,75.98,93.63,4,0,0,0.3756387233734131,4
54,Training,1129.3529052734375,2.42,1429.5704345703125,87.75,97.06,1259.394287109375,2.70,1573.080078125,82.35,95.1,1575.9793701171875,3.35,2119.141845703125,75.49,87.75,1452.3270263671875,3.12,1799.8118896484375,74.51,92.65,4,0,0,0.3772709369659424,4
55,Training,1135.594482421875,2.43,1432.1865234375,87.75,97.06,1267.381591796875,2.71,1575.876220703125,82.35,95.1,1578.582275390625,3.34,2120.747802734375,75.0,87.75,1455.5899658203125,3.11,1805.2259521484375,73.53,92.65,4,0,0,0.5633831024169922,4
56,Training,1168.1123046875,2.49,1472.2076416015625,85.78,96.57,1290.98779296875,2.75,1602.1043701171875,80.88,95.1,1594.268798828125,3.37,2133.036865234375,73.53,87.75,1483.721923828125,3.18,1840.5509033203125,73.04,92.16,4,0,0,0.3967263698577881,4
57,Training,1184.8341064453125,2.53,1483.080078125,85.78,96.57,1323.6220703125,2.83,1638.984619140625,79.9,94.12,1633.3485107421875,3.46,2175.853515625,72.06,86.76,1517.2410888671875,3.25,1879.23291015625,72.06,91.18,4,0,0,0.5190341472625732,4
58,Training,1199.5074462890625,2.55,1505.0103759765625,84.8,95.59,1343.2191162109375,2.86,1670.92529296875,78.43,93.14,1701.063232421875,3.61,2318.08984375,71.57,85.78,1559.4010009765625,3.34,1933.8673095703125,71.08,90.69,3,1,0,0.5925233364105225,4
59,Training,1232.5394287109375,2.63,1519.5513916015625,83.33,95.59,1380.3284912109375,2.95,1696.2003173828125,75.98,92.65,1744.176513671875,3.70,2372.864013671875,70.59,84.31,1611.824462890625,3.44,2008.596923828125,70.1,88.73,3,1,0,0.4535853862762451,4
60,Training,1265.938232421875,2.69,1560.4053955078125,81.37,95.1,1433.282470703125,3.04,1769.745849609375,74.02,90.69,1816.203125,3.83,2461.198486328125,68.63,82.35,1703.5562744140625,3.61,2161.8154296875,68.14,86.76,4,0,0,0.3735783100128174,4
61,Training,1307.895263671875,2.76,1610.9302978515625,80.39,94.12,1485.240478515625,3.13,1830.069091796875,72.06,89.22,1880.418212890625,3.94,2525.883544921875,66.67,80.39,1746.3267822265625,3.68,2207.012451171875,66.67,85.29,4,0,0,0.3780522346496582,4
62,Training,1312.5572509765625,2.76,1617.9727783203125,79.41,94.12,1486.4730224609375,3.12,1832.3248291015625,72.06,89.22,1888.489013671875,3.94,2532.5859375,66.18,80.39,1762.144775390625,3.69,2217.207275390625,66.18,85.29,4,0,0,0.3822355270385742,4
63,Training,1369.6375732421875,2.85,1720.697265625,77.94,92.65,1536.5277099609375,3.19,1914.581298828125,70.59,87.75,1938.1207275390625,4.01,2592.45556640625,64.71,78.92,1795.633544921875,3.73,2262.8173828125,65.2,83.82,4,0,0,0.5021755695343018,4
64,Training,1433.18505859375,2.96,1811.5150146484375,75.98,90.69,1604.9903564453125,3.31,2001.9888916015625,68.63,85.78,2019.24755859375,4.16,2673.989990234375,62.75,76.96,1874.3155517578125,3.87,2344.130615234375,63.24,81.86,4,0,0,0.39107203483581543,4
65,Training,1505.21533203125,3.10,1910.166259765625,74.02,88.73,1686.6029052734375,3.47,2109.36572265625,66.67,83.82,2108.104248046875,4.33,2775.601806640625,60.78,75.0,1945.878662109375,4.00,2443.87109375,61.76,80.39,4,0,0,0.38602280616760254,4
